RegionID,SizeRank,ZipCode,RegionType,StateName,State,City,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
58660,314,02148,zip,MA,MA,Malden,"Boston-Cambridge-Newton, MA-NH",Middlesex County,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1660.90137027648,1657.45062551968,1648.36096114454,1656.10630352776,1679.44444811613,1696.94011159433,1704.23306460919,1682.36274768411,1691.59923106133,1688.98646249718,1698.97748706179,1696.62851992347,1710.13100154052,1728.01650540235,1725.29647642465,1724.69257984827,1727.84569286253,1727.78847342828,1732.96751204773,1696.32835035164,1721.44691135944,1768.4347441417,1841.39732707142,1847.68553612674,1824.44348893187,1829.30251817769,1830.64855811577,1848.24049191604,1861.07739343833,1877.74765761186,1833.24966521865,1852.75741123859,1851.36262070063,1940.19148201097,1895.2751295386,1928.93316837595,1900.25117170663,1962.10077553973,1971.49861514558,1987.30114110374,1972.24722305581,1972.60286681834,1955.36512181334,1977.85310189531,1957.61067951217,1979.49203588473,1981.14706510132,2003.72544161634,2007.14873017378,1992.26245871207,1989.70166356524,1968.65282305127,1951.47619920446,1925.45880879355,1907.25708978596,1883.87382681917,1915.72754740264,1901.33705324671,1914.6360819968,1902.87017052791,1952.0290251104,1987.15751972995,2006.67739243182,2035.45239049289,2077.10079096263,2127.43839007755,2153.52128192372,2148.37767236848,2118.3696437308,2096.36404492172,2109.28919086124,2114.51047680605,2144.60875815003,2160.23053696489,2243.7372106719,2258.69624108899,2320.76925073995,2327.43142133837,2366.57313124678,2374.5849331505,2398.41163170603,2404.71502810167,2368.12760375768,2338.89897598992,2356.07489130824,2413.31418887411,2434.87582272596,2446.14801293,2455.27885785212,2465.28730639401,2466.61983542225,2454.63312752717,2446.64988461126,2464.02101251397,2477.46676492136,2517.06586982707,2506.52406669302,2517.0613087362,2512.29785502693,2541.03620717052,2538.22126366593,2458.51450584839,2457.94717954598,2478.50791582776,2577.75924495898,2592.91025183511,2603.61921156856,2620.69410430279,2629.537677573,2653.23457310628,2660.7703023301,2670.29511965212,2649.2642121404,2633.68489286419,2638.1681145091,2628.21086875214,2628.83984956473,2604.0779054917
58666,429,02155,zip,MA,MA,Medford,"Boston-Cambridge-Newton, MA-NH",Middlesex County,2170.30168004313,2170.30168004313,2170.30168004313,2170.30168004313,2170.30168004313,2170.30168004313,2170.30168004313,2170.30168004313,2170.30168004313,2170.30168004313,2170.30168004313,2170.30168004313,2170.30168004313,2170.30168004313,2170.30168004313,2228.46785714747,2220.70088461836,2241.93290242963,2232.96345060197,2258.86847209751,2235.27666735912,2218.6581780676,2187.64818908665,2212.10219052917,2217.69358770642,2210.39519086831,2211.09990498202,2237.03186731251,2277.72384166079,2314.0368899765,2351.3661580819,2344.01161706445,2325.51727687357,2280.91918760883,2306.50058673435,2273.03716808032,2307.77888193231,2324.33658291698,2388.09545819152,2409.43005361352,2424.10568629144,2427.17808698009,2424.4927930863,2405.93560891811,2397.40690304278,2401.26508068385,2376.61541538427,2360.93229858276,2338.31510326268,2389.78104410273,2428.10358549516,2486.0032018213,2495.74953368437,2511.36715104358,2507.14597185661,2480.86809869105,2457.83662253428,2447.3648781901,2445.09659322864,2442.96221700423,2462.05770044173,2495.57778314293,2535.05734556472,2505.81912839541,2519.16908583963,2520.72275442983,2530.47235896649,2508.37489893149,2427.88917178234,2374.04664854889,2312.4070295871,2291.75642875066,2255.15493656157,2285.20969190577,2328.95557353768,2433.61249584617,2487.54442283712,2554.85153353098,2595.6427953293,2634.70790255381,2663.00916259648,2654.53347190111,2650.54977260088,2630.53928477798,2653.55777830951,2659.88183953401,2712.87516784465,2748.10447227955,2830.09829169978,2889.09250753801,2938.65869474974,2927.11852175823,2897.77997914003,2933.04122555032,2946.11372667472,2967.25361202656,2931.50255476123,2975.01348601022,3021.17039742107,3091.6709864423,3109.87831183288,3115.46840998923,3123.46035306155,3108.80266154634,3131.4287804669,3076.87855806939,3075.44328590984,3064.57926022744,3122.03475957215,3153.09353280359,3198.40860395656,3215.21246963039,3247.63131874251,3254.69014259592,3256.71408800466,3225.35413361679,3187.35804820436,3149.38270461752,3124.60123944571,3116.1757676097,3150.64355182734,3179.08163424163,3205.29954168782,3215.98187947405,3267.10151020875,3309.69018696573,3312.96934152065,3298.71667058671,3324.31987105749,3342.28380275738,3294.09492155916,3221.71142987955,3220.06752136752
58663,467,02151,zip,MA,MA,Revere,"Boston-Cambridge-Newton, MA-NH",Suffolk County,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1643.30106796899,1684.75528223175,1708.35618461839,1730.78978578452,1734.32200331788,1761.99498706352,1759.55107133256,1756.27668392508,1756.76159020491,1789.99178652101,1865.03441386894,1862.95454309505,1826.61825037183,1712.88749438785,1734.7115851482,1790.43753978982,1903.63181142632,1912.5798679886,1886.40674931644,1904.59398838823,1928.47878566117,1940.90026323762,1969.75447854566,1943.24452952997,1981.6663176086,1963.69313427879,1985.19674788639,1989.51027965027,1994.59990103413,2025.610875096,2034.73349826799,2041.35827836989,2134.54785442934,2132.80528842359,2147.52906754654,2066.81676195211,2063.29485802458,2043.56778678447,2010.21038022518,2013.95575551554,2009.32428571664,2004.11270536036,1990.40781562976,1980.20236540151,1991.00420450487,1998.23760297098,2032.91527310024,2054.12848065267,2060.25072727409,2086.49666100257,2104.97114624516,2150.46038833293,2168.05716068611,2180.11073003412,2195.3888841882,2193.99407383438,2155.33012597004,2145.90480876402,2196.30579359983,2241.78640715516,2282.50204361947,2290.4708870101,2356.85945779047,2428.52923098058,2465.69215623109,2483.68738202542,2452.05896717667,2411.11891734008,2398.16701647607,2395.21300953576,2443.83918423322,2486.29561015057,2509.45649436557,2550.86403986709,2569.773818647,2589.60171357094,2584.50792569962,2588.45578994878,2596.65098133016,2565.99332750847,2559.75947867303,2547.11551728096,2573.39284121902,2579.522811942,2618.31446796931,2659.0118209994,2701.29213400818,2733.62475004882,2719.30805675928,2694.27148961948,2653.76809554432,2639.32301169536,2632.82402062761,2652.90120421797,2670.26243729992,2708.54638394223,2734.33172271466,2767.94086701495,2857.83459688859,2877.23232181005,2862.00308582083,2773.16066569292,2784.63232748545,2774.07027347082,2801.44957689801,2761.5060130719
58669,547,02169,zip,MA,MA,Quincy,"Boston-Cambridge-Newton, MA-NH",Norfolk County,1658.87069902239,1658.87069902239,1658.87069902239,1676.48500800122,1665.44060030784,1704.00904706086,1704.50322590839,1711.1024619103,1709.71951517081,1712.08817889287,1737.48495648061,1722.43036453519,1708.02481733432,1688.95327547387,1727.72211497311,1784.46794848587,1810.93511118941,1806.54780728674,1773.72370101883,1787.8137591849,1762.78691983767,1771.9526660055,1764.38948528049,1782.68128175492,1787.72607824885,1810.64211097105,1837.64621692042,1856.96284822078,1854.95761394629,1869.45548652997,1881.65022466707,1891.36099363354,1883.6105069894,1873.44597828195,1876.11606414293,1877.59292289529,1893.82573768742,1882.06775737826,1886.79536833994,1877.51484412143,1917.44907367061,1919.8736615811,1933.70861838736,1930.96268073092,1941.71256110216,1972.91725442073,1980.52516751291,1986.54386010393,1950.92483438873,1964.62140208606,1987.84498535464,2008.0184704786,2005.00774792871,2012.48399488155,2031.49436002864,2036.07546352271,2011.98875896004,2004.0813223083,1994.09520149633,2001.35467864589,2027.7111418585,2038.63966627339,2068.97860409083,2048.91781239112,2051.29422413775,2050.45261907668,2066.73046613558,2057.35764219828,2008.8915851112,1974.37452111694,1962.72756330117,1949.62552522954,1946.4764271266,1958.57911585601,1995.30488446492,2021.2577312632,2051.57590220516,2094.7334121161,2137.08123954301,2169.22832041476,2189.8271774427,2198.20982500411,2212.56902559359,2205.77997819872,2210.00191581662,2206.14063492575,2245.67949525888,2302.09810964793,2353.84729107347,2380.42290387017,2393.25188894129,2389.24574440192,2404.21923058784,2413.68048097005,2420.76766066713,2390.9214515956,2385.5709389846,2401.81638243699,2440.49858113606,2461.48110459264,2471.28779406986,2480.3307199992,2502.82480627902,2502.14473028673,2521.5888056897,2497.02482655029,2521.40094399864,2495.89967927099,2494.99881840418,2478.24178323628,2499.35770709784,2524.89112145806,2553.46137814202,2577.95070637205,2614.6253996597,2629.05979925517,2619.62631604332,2608.11542048561,2587.64459217989,2584.84729869153,2576.71675637387,2590.16121027728,2605.10550997688,2614.57348550567,2629.43947420789,2651.37873757803,2676.92988863812,2694.53299898625,2694.22041635016,2680.43582738082,2658.85798603023,2643.84362870676,2655.21562980031
58642,1287,02128,zip,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,1850.16480034713,1850.16480034713,1850.16480034713,1850.16480034713,1850.16480034713,1850.16480034713,1850.16480034713,1850.16480034713,1850.16480034713,1850.16480034713,1850.16480034713,1886.5606566113102,1922.95651287549,1986.22144519909,1944.15882545095,1998.36601877366,2015.97393970831,2061.38140136986,2090.26701320973,2095.28525771812,2079.12117469635,2040.02935912752,2019.55889188611,2022.88769150869,2050.63018471392,2078.90149353143,2120.82898952307,2132.34241972077,2180.26448968278,2190.79192302717,2229.87215678694,2212.74624485375,2202.02852836228,2164.62458174668,2143.16297933758,2138.34561739569,2162.59765446332,2209.44345516033,2256.65591338663,2273.97978163477,2269.44918456385,2281.18200376455,2289.06730328926,2292.31047174598,2262.87145318981,2254.48138306293,2250.35471825795,2239.32997836178,2263.82478162064,2286.26958746642,2322.52603884507,2346.66284270196,2367.68349442303,2398.39376663144,2389.09221209781,2379.27425210529,2318.24361417969,2307.34733912821,2276.88267550304,2331.39568675345,2363.81428833648,2457.91357489057,2481.9026628783,2474.85601664675,2445.14410671497,2456.81896715901,2435.42438089673,2382.8452809741,2295.62116939217,2259.00651844338,2209.19173126748,2192.68683923852,2196.91584868748,2236.25033677235,2296.47868108999,2380.12318359226,2455.01633197243,2471.40812020217,2461.70263654101,2445.31798665419,2482.53070934521,2474.47475070661,2492.70494220913,2497.93167195421,2540.24407409156,2573.29805738215,2596.81424466098,2623.98512048317,2634.22365472,2671.53216697372,2700.35167140296,2724.45708112072,2738.06018870867,2689.99402477393,2685.34206398809,2664.92180636005,2726.5526021828,2752.50940233106,2785.10911729313,2803.32864047334,2840.61365258252,2888.76265514731,2917.20274484939,2903.9337599588,2896.4155303457,2796.70150426778,2795.03043495188,2793.09759669503,2892.95621599845,2941.05641125907,2961.05158739865,2995.17235620123,3001.23920124243,3017.69038295132,3005.58073528341,3025.09493092964,3006.96931756142,2978.90421342187,2935.03373720702,2938.78341905947,2979.29081132822,3034.14539861552,3076.28945462417,3106.07430052519,3112.06631933626,3151.96205678739,3197.7343514323,3183.21067070162,3143.6234195809,3025.42954066172,3017.10461165258,3000.86393879894,3042.50325127069
58649,1428,02135,zip,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,1919.7594546839,1917.65062815304,1950.09441856387,1985.52461979208,2005.90371081256,2021.52800380526,2012.88026787837,1998.86202374938,1973.09483041833,1961.58335734278,1979.32894024227,1983.93952251254,2001.53820652499,2020.42708486425,2049.85217881253,2068.7628024161,2068.94252352046,2081.057123419,2086.52458399623,2082.1145759002,2067.07856309055,2066.58765166168,2039.95126343854,2010.89170892685,2026.21989777457,2083.95176358018,2148.86607624749,2168.12460982841,2163.71019386795,2159.1732320027,2148.0203249322,2144.32380123273,2113.73054833686,2065.99259374255,2062.62709977785,2081.52166701372,2140.96518057977,2167.05954223097,2205.7900929801,2227.02441299478,2240.56024350708,2233.86470668954,2225.03125936783,2202.96041841962,2178.8205030974,2171.7397955813,2158.58734558348,2192.25171324039,2211.87525714188,2255.48898734979,2262.58367429262,2273.26624590349,2288.60797102635,2307.85061939155,2328.10416326311,2328.70938250769,2307.0516693172,2268.60290389053,2238.37986586183,2261.89730799644,2303.26718433793,2345.9684660356,2367.11859383366,2365.97379164712,2357.9555973225,2335.00328195736,2302.97128561237,2245.34627022617,2180.44997608162,2136.28276605596,2107.82217580655,2094.92651455929,2107.53056846717,2150.71674300719,2205.95715711556,2223.0946867557,2248.87107692496,2265.14878160218,2285.27280953887,2279.64268446107,2255.41912741865,2270.97790171359,2298.7547400992,2360.98651169005,2397.4933643196,2416.14948846993,2426.10140236377,2452.71278264484,2481.66115928202,2513.72688350419,2548.6104763716,2567.50169187958,2596.95805821901,2581.13617390921,2596.23402267955,2611.99124697501,2643.03457881633,2675.94557860149,2693.54902385781,2729.50289872556,2750.04549820699,2766.34192083209,2777.44309905194,2791.28911325189,2777.85353843289,2813.27940188277,2819.14145050614,2848.80666312124,2839.7049925275,2855.28064216511,2881.66910926127,2888.40387475833,2916.27932789429,2913.32185323022,2908.58663167995,2860.535137439,2836.01686705867,2832.71436458193,2879.22788325776,2901.55257473417,2914.31180534015,2922.6667950062,2952.71461911637,2975.49907303224,2992.7725710479,2986.66572734509,2971.78735977802,2926.91123971167,2912.72825152393,2951.48463528467,2988.33292784455,3039.59164178494,3031.60884170347
58570,1439,01970,zip,MA,MA,Salem,"Boston-Cambridge-Newton, MA-NH",Essex County,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1592.77198425402,1642.3386299417,1706.92962973876,1757.85793047674,1755.9401204168,1755.33705815804,1723.0795819402,1715.11466928384,1753.43987913158,1799.48823737939,1828.19425691674,1793.93301613266,1776.81600661159,1777.91689229461,1792.38260323842,1842.99824253234,1842.27847769075,1856.46514118141,1830.79736266834,1831.78691545004,1843.81343963685,1858.02191204412,1868.90974444195,1828.94084130095,1813.67377107549,1826.81305184911,1862.95036581862,1888.43720877321,1914.58090496625,1947.35733170168,1940.38409567894,1940.68130521398,1927.21083060099,1938.4379818841,1928.60199936996,1944.23386594741,1964.78189118095,1972.57526500781,1976.09162124134,1967.16658833648,1975.38279576302,1957.67203574857,1985.73489553435,2011.29700856469,2026.09541896657,2014.86760705111,1993.04062250434,1975.62315136573,1965.22646315591,1981.11052405975,2005.27043280794,2034.4665839296,2045.26903995384,2084.26385290639,2108.1942275063,2154.16800151898,2173.13819418824,2202.18225098699,2214.88550924138,2232.22707975173,2221.31434795904,2226.55814252664,2228.26346272607,2246.56397198267,2276.10854490213,2328.56462397626,2377.81045438979,2380.4578194198,2377.91243102032,2364.87314812684,2371.63388172898,2362.17472404575,2368.38620932614,2388.76393986396,2408.56274687519,2433.23356910648,2454.89171584627,2491.73175811797,2502.85670035692,2536.60011468076,2518.86734624387,2525.32884385873,2484.98708970994,2502.55250579555,2519.73996664026,2540.59862164644,2574.66055401965,2579.09232126276,2607.94933873231,2619.4205678121,2636.38211814433,2615.98491259598,2602.50711933939,2592.83266452709,2583.30510966866,2583.24240657041,2595.85686305978,2637.77238608147,2636.08322556751,2659.86429550789,2688.92874859733,2706.44071007401,2699.64978068147,2697.49920589563,2700.13509077702,2695.58414192658,2672.79490901505,2637.52366770418,2632.46494355318
58644,1834,02130,zip,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,1897.70381776343,1960.48391047543,2058.56441355959,2061.49455579519,2082.50111459883,2116.3349018453,2127.05070028307,2139.24272406532,2108.225025525,2044.02769394186,2048.05138028737,2048.93747871952,2144.17224031581,2134.24919062223,2177.45197367595,2180.95867503893,2223.83246086219,2224.90857835527,2216.32013800753,2155.65880475464,2160.53631038846,2134.4955256503,2176.83383165217,2161.27634096449,2226.20053449879,2258.24007035727,2310.78986768438,2306.44873258382,2323.9111330016,2323.03178234882,2301.94093808591,2261.98145301029,2231.69341774185,2214.91116020095,2248.59289122812,2376.65839906607,2431.11699497319,2460.75657651715,2390.56430561765,2399.31595234431,2389.38014775871,2390.67328692682,2414.74970897187,2401.47253426219,2357.42463877168,2304.19699488595,2285.62194634936,2359.16345638514,2398.39734173313,2462.04668833145,2458.89363037361,2492.19090979106,2504.29442849812,2493.66259691951,2480.48131454836,2450.67765728706,2451.93397878119,2411.0283857476,2390.95639620642,2396.93616806324,2451.24069513515,2508.95966862983,2517.70314814433,2512.65572686879,2503.97703102647,2496.22929155876,2479.8047350482,2432.15275262342,2380.09622162982,2297.3696064761,2270.0495329034,2253.19952059011,2287.7510790651,2331.49615206759,2391.37081385101,2452.15699589824,2477.23928875066,2487.2038009757,2491.6546687668,2470.60315170096,2493.24214107608,2502.4219142198,2546.51692504508,2534.83000941859,2571.65904804192,2591.22423248888,2638.92903966007,2666.68826749063,2711.0144661504,2728.24202273617,2724.9675337792,2729.17588188404,2761.9654467671,2775.4957242356,2768.02228019987,2751.09653871833,2773.27776535435,2808.65839491521,2845.08442315477,2873.59366975624,2900.80013152234,2942.53870431697,2959.36947849444,2948.75394316419,2885.52715712833,2879.43860159104,2920.03743077048,3000.14193790322,3032.54582781047,3030.03622605467,3038.92548310216,3065.39092896587,3078.03491881784,3085.0365931738,3080.60845935468,3058.29863217821,2977.6560376006,2929.20909654829,2934.48319530211,2973.70335545799,3052.09949033549,3113.07783994035,3170.31133743202,3172.29669217564,3187.54362254261,3183.36695246937,3162.48674437573,3079.05873450035,3022.15187621715,3010.0939042625,3057.44394290759,3096.06101181296,3120.93518518519
58653,2162,02139,zip,MA,MA,Cambridge,"Boston-Cambridge-Newton, MA-NH",Middlesex County,2260.80061040829,2230.28263619665,2278.09242786687,2346.05962429933,2411.16300839999,2417.60370273399,2415.577091219,2413.96725312103,2399.41552556371,2346.93170066926,2325.26327913019,2308.72042631386,2354.44124623411,2383.59251532603,2387.31342608219,2431.72359706254,2462.89885872085,2510.71636276895,2497.90824407123,2497.65526388766,2500.50758462662,2429.40007180322,2389.94967854069,2360.55899384572,2427.96912898969,2439.45277187352,2528.75217703786,2574.12698496345,2634.42455935306,2605.08974246892,2570.00337110142,2557.2710763349,2532.1628271,2505.34246679227,2494.79702880111,2503.17821152168,2518.13404754006,2543.31469861612,2598.46281207832,2650.68294741203,2677.21771521634,2675.38916749589,2689.9215676313,2693.83303896031,2680.07383098614,2631.8166232027,2618.98461979878,2539.78645476699,2551.16903012585,2567.74898858071,2675.62789822356,2746.22157136184,2768.94374569926,2763.15382056435,2755.79364017279,2718.25868464399,2706.94337676361,2613.41712558914,2648.81139087764,2660.83471242117,2723.09665907647,2740.85425062092,2773.81859816502,2804.86105906188,2788.14957534901,2764.40445673706,2739.65593174816,2665.20172141286,2568.1789619418,2486.42550714607,2419.34771354759,2411.13724505963,2388.08342923494,2446.75851260719,2488.68804300292,2597.71610264408,2664.28441756706,2735.2594697246,2762.41338632642,2748.9004047658,2742.06187655501,2715.58382886381,2779.15006498518,2789.22948694634,2794.92587056106,2784.76050366413,2824.57141742175,2891.9520619357,2940.15005886361,2995.6625822891,3037.62318484758,3073.84460890108,3124.28546119565,3102.69896376906,3066.66417090033,2983.09270823148,2969.15745506818,2984.54947375416,3044.1011782444,3094.1165692913,3144.91132707108,3165.21905338617,3207.68944220969,3192.5205989338,3200.1043376288,3174.1958835216,3140.32643186588,3142.76113801677,3154.08969415561,3244.03938874199,3260.02429787411,3280.10106716252,3299.8417544912,3326.02182646139,3349.15006911856,3308.97588703377,3260.30937648995,3207.20885014533,3190.4197506333,3130.83005846336,3164.61663399969,3202.69325754916,3334.04000730761,3379.18617965204,3407.27726235459,3381.46017273109,3365.26001689552,3373.27233243548,3329.78355690717,3318.79652717564,3221.9995771554,3168.73410919245,3183.70655518395
58652,2186,02138,zip,MA,MA,Cambridge,"Boston-Cambridge-Newton, MA-NH",Middlesex County,2023.62603889383,2136.25802114385,2141.2136922981,2182.78269692513,2145.18284952221,2164.63304277309,2163.64330956459,2171.37406843897,2145.01443056873,2146.02008442932,2077.39235400906,2077.2561751102403,2077.11999621142,2221.58131020869,2233.32587911487,2293.19966207134,2259.60351662504,2299.58167003344,2289.06944116075,2270.93262432763,2267.3994106749,2219.71141862319,2233.02241025035,2211.11473554334,2268.11628440623,2276.65058190543,2325.78942485482,2348.82393760824,2367.4917816834,2358.8089289764,2364.45865849007,2323.8387395424,2324.65193169404,2312.22808926433,2315.40369991802,2297.16766360116,2300.3914270204,2299.60999905381,2328.93709579954,2334.40477131937,2382.97045857386,2403.88701501665,2426.21916641907,2413.89031603557,2408.56198872642,2415.56885842522,2407.25336947472,2391.06324595345,2335.5333209167,2349.55417656664,2383.25138366401,2442.70593228275,2459.09907730099,2460.56268596814,2471.70368582291,2489.6370905978,2484.58354839679,2507.83745891302,2499.22245107086,2517.79447283533,2489.41320958782,2486.23041540727,2510.05075488811,2523.24331446322,2532.12835097489,2512.64636594314,2494.79809374967,2436.14002319461,2337.28816354086,2254.36916487466,2199.8846006646,2185.13362826492,2182.06533923718,2245.08601453806,2307.57041614156,2373.81704099215,2419.23244712181,2475.8645418871,2524.70206610329,2529.91267098618,2541.67416353903,2551.72198110276,2564.82190580092,2576.29965865593,2576.7057205173,2606.91458068161,2611.62339404929,2659.89744653785,2692.14429275957,2745.60079463767,2763.58263281873,2763.2203927475,2760.76389044779,2757.17801363425,2771.1287062578,2765.52586251083,2736.04669211005,2783.03540404579,2826.05407020963,2898.37403651136,2911.20364658095,2922.8069904025,2912.7203000804,2906.14559823377,2886.50039524269,2917.29777243376,2872.65807515624,2849.91007472822,2849.06706671746,2898.35049887579,2968.32782691694,3014.31070040319,3064.23552921086,3091.45906996024,3094.12662987708,3080.89539716922,3075.8678844389,3040.51478899605,2998.20577698176,2944.73872109669,2940.14315332379,2990.09305287116,3077.52855285284,3127.95407141825,3155.71632442769,3162.30447779872,3232.58377362043,3208.00184493995,3183.51353894991,3080.85665550692,3047.18408692472,2993.11322486446,3002.80856595512
